id	name	city	state	country
384	Nassau Community College	Garden City	NY	USA
550	University of North Carolina at Pembroke	Pembroke	NC	USA
632	National University of Singapore	Singapore	(null)	Singapore
684	Concordia University	Montreal	Quebec	CANADA
886	Boise State University	Boise	ID	USA
1531	Changwon National University	Changwon-si	Kyeongsangnamdo	SOUTH KOREA
1615	Universita degli Studi di Siena	53100 Siena	(null)	Italy
1729	University of New Brunswick	Fredericton, New Brunswick	NB	Canada
1795	University of Massachusetts at Dartmouth	Dartmouth	MA	USA
1988	Fort Valley State University	Fort Valley	GA	USA
2178	Chinese University of Hong Kong	Hong Kong	(null)	Hong Kong
2233	University of Twente	Enschede	(null)	The Netherlands
2335	Skidmore College	Saratoga Springs	NY	USA
3029	Fo Guang University	Jiaushi Shiang, I-Lan	(null)	Taiwan
3050	Universita degli Studi del Piemonte Orientale	15100 Alessandria	(null)	Italy
9558	Universitat Innsbruck	Innsbruck	(null)	Austria
10280	University of Vienna	Vienna	(null)	Austria
10336	Universita Ca' Foscari di Venezia	Venezia	(null)	Italy
11014	University of Cyprus	Nicosia	(null)	Cyprus
11278	Medgar Evers College	Brooklyn	NY	USA
11870	Dongguk University	SEOUL	(null)	Korea
12570	Cape Breton University	Sydney	Nova Scotia	CANADA
12670	State University - Higher School of Economics	Moscow	(null)	RUSSIA
13270	Stonehill College	Easton	MA	USA
15	University of North Carolina at Chapel Hill	Chapel Hill	NC	USA
16	Northwestern University	Evanston	IL	USA
22	Washington University in St. Louis	St. Louis	MO	USA
44	Columbia University	New York	NY	USA
75	University of Cincinnati	Cincinnati	OH	USA
98	Louisiana State University	Baton Rouge	LA	USA
121	University of Amsterdam	Amsterdam	(null)	The Netherlands
170	George Washington University	Washington	DC	USA
194	University of Texas, Pan American	Edinburg	TX	USA
239	John Jay College of Criminal Justice	New York	NY	USA
290	City University of New York Federation	New York	NY	USA
298	Morehouse College	Atlanta	GA	USA
306	State University of New York at Potsdam	Potsdam	NY	USA
425	University of Minnesota Duluth	Duluth	MN	USA
499	Library of Congress	Washington	DC	USA
539	Appalachian State University	Boone	NC	USA
557	Dickinson College	Carlisle	PA	USA
601	Luther College	Decorah	IA	USA
1101	Hartwick College	Oneonta	NY	USA
1221	Universita degli Studi di Bologna	40125 Bologna	(null)	Italy
1447	University Of Wisconsin at La Crosse	La Crosse	WI	USA
1692	Illinois Wesleyan University	Bloomington	IL	USA
2036	Yonsei University	Seoul	(null)	Korea
3428	Konkuk University	Seoul	(null)	South Korea
7427	University of Limerick	Limerick	(null)	IRELAND
7470	Universiteit Maastricht	Maastricht	(null)	The Netherlands
9678	Klaipeda University	Klaipeda	(null)	LITHUANIA
10277	University of Nottingham	University Park	(null)	United Kingdom
10634	Korea Advanced Institute of Science and Technology	Daejeon	(null)	South Korea
11298	University of the Thai Chamber of Commerce	Bangkok	(null)	Thailand
4	California State University at Chico	Chico	CA	USA
9	University of Kansas	Lawrence	KS	USA
19	Princeton University	Princeton	NJ	USA
31	Humboldt State University	Arcata	CA	USA
38	University of Tennessee at Knoxville	Knoxville	TN	USA
68	University of California at Santa Barbara	Santa Barbara	CA	USA
73	University of Western Ontario	London Ontario  N6A 5C2	ON	Canada
132	Virginia Polytechnic Institute and State University	Blacksburg	VA	USA
144	University of Vermont	Burlington	VT	USA
181	University of Pennsylvania	Philadelphia	PA	USA
182	Swarthmore College	Swarthmore	PA	USA
221	Hamilton College	Clinton	NY	USA
233	Loyola University of Chicago	Chicago	IL	USA
237	University of Oregon	Eugene	OR	USA
253	Brooklyn College	Brooklyn	NY	USA
260	Trinity College	Hartford	CT	USA
302	North Carolina State University	Raleigh	NC	USA
315	Simon Fraser University	Burnaby, British Columbia	BC	Canada
331	University of Nevada at Reno	Reno	NV	USA
426	Lewis and Clark College	Portland	OR	USA
599	Keio University	Tokyo	(null)	Japan
615	University of Tokyo	Tokyo 113-0033	(null)	Japan
716	University of the Pacific	Stockton	CA	USA
735	Federal Reserve Bank of Cleveland	Cleveland	OH	USA
787	York College of Pennsylvania	York	PA	USA
805	University of Dayton	Dayton	OH	USA
928	University of Texas at El Paso	El Paso	TX	USA
953	University of Richmond	Richmond	VA	USA
1517	Austin College	Sherman	TX	USA
1587	Carthage College	Kenosha	WI	USA
1590	St. Mary's College of Maryland	St. Mary's City	MD	USA
1876	Osaka University of Commerce	Osaka	(null)	Japan
2249	University of Groningen	Groningen	(null)	The Netherlands
3075	University of the District of Columbia	Washington	DC	USA
7948	Federal Reserve Bank of Kansas City	Kansas City	MO	USA
7974	Meiji University	Tokyo	(null)	Japan
10304	Winston-Salem State University	Winston-Salem	NC	USA
11080	Soka University of America	Aliso Viejo	CA	USA
11226	Statewide California Electronic Library Consortium	Los Angels	CA	USA
11277	Kingsborough Community College	Brooklyn	NY	USA
11302	Reinhardt College	Waleska	GA	USA
11830	Abt Associates Incorporated	Cambridge	MA	USA
1	University of California at Los Angeles	Los Angeles	CA	USA
20	University of Rochester	Rochester	NY	USA
25	University of Wisconsin at Madison	Madison	WI	USA
28	University of Georgia	Athens	GA	USA
33	University of Kentucky	Lexington	KY	USA
37	Pennsylvania State University	University Park	PA	USA
61	Johns Hopkins University	Baltimore	MD	USA
74	Northern Illinois University	DeKalb	IL	USA
86	University of Miami	Coral Gables	FL	USA
117	University of Southern California	Los Angeles	CA	USA
122	Erasmus University Rotterdam	Rotterdam	(null)	The Netherlands
131	Miami University	Oxford	OH	USA
134	Emory University	Atlanta	GA	USA
154	Brown University	Providence	RI	USA
179	Bryn Mawr College	Bryn Mawr	PA	USA
200	Texas State University at San Marcos	San Marcos	TX	USA
220	Southern Illinois University at Edwardsville	Edwardsville	IL	USA
244	Queens College (Flushing, NY)	Flushing	NY	USA
257	Massachusetts Institute of Technology	Cambridge	MA	USA
316	New School University	New York	NY	USA
348	Depauw University	Greencastle	IN	USA
512	Bard College	Annandale on Hudson	NY	USA
547	Birmingham Southern College	Birmingham	AL	USA
571	University of Winnipeg	Winnipeg	MB	Canada
758	DePaul University	Chicago	IL	USA
765	Minnesota State University, Mankato	Mankato	MN	USA
948	Berea College	Berea	KY	USA
1068	Colorado State University	Fort Collins	CO	USA
1191	York University	Toronto, Ontario M3J 1P3	ON	Canada
1708	University of North Florida	Jacksonville	FL	USA
1845	Memorial University of Newfoundland	St. John's	NEWFOUNDLAND	CANADA
3042	Meisei University	Tokyo	(null)	Japan
8626	Lycoming College	Williamsport	PA	USA
11224	National Assembly Budget Office	Seoul	(null)	Korea
11272	New York City College of Technology	Brooklyn	NY	USA
11790	Vilnius University	Vilnius	(null)	Lithuania
14052	Keimyung University	Dalseo-gu	Daegu	SOUTH KOREA
30	University of Pittsburgh	Pittsburgh	PA	USA
120	University of Oklahoma	Norman	OK	USA
192	University of Houston	Houston	TX	USA
193	Mississippi State University	Mississippi State	MS	USA
218	Cornell University	Ithaca	NY	USA
240	Herbert H. Lehman College	Bronx	NY	USA
243	State University of New York at Binghamton	Binghamton	NY	USA
272	Brigham Young University	Provo	UT	USA
274	University of Arkansas at Fayetteville	Fayetteville	AR	USA
295	Ohio University	Athens	OH	USA
296	Williams College	Williamstown	MA	USA
307	Loyola College	Baltimore	MD	USA
338	University of Maine at Orono	Orono	ME	USA
355	Ursinus College	Collegeville	PA	USA
405	University of Regina	Regina, Saskatchewan	SK	Canada
406	University of Saskatchewan	Saskatoon, Saskatchewan	SK	Canada
526	Christopher Newport University	Newport News	VA	USA
656	University of Massachusetts at Lowell	Lowell	MA	USA
1053	Randolph-Macon College	Ashland	VA	USA
1527	Ritsumeikan University	Kyoto	(null)	Japan
1554	Bilkent University	Ankara	(null)	Turkey
2110	Austin Peay State University	Clarksville	TN	USA
2599	Florida Gulf Coast University	Fort Myers	FL	USA
2675	Institut D`Etudes Politiques (France)	Paris	(null)	France
3044	University of Alaska Anchorage	Anchorage	AK	USA
3427	University of Seoul	Seoul	(null)	South Korea
6573	Vrije Universiteit of Amsterdam	Amsterdam	(null)	The Netherlands
7949	Instituto Superior das Ciencias do Trabalho e da Empresa (ISCTE)	1600 Lisboa	(null)	Portugal
8662	Utah Valley University	Orem	UT	USA
10003	Kyushu University	Fukuoka	(null)	Japan
10279	University of Redlands	Redlands	CA	USA
10419	Chonnam National University	Gwangju City	(null)	South Korea
11222	California State University Channel Islands	Camarillo	CA	USA
11300	University of Ontario Institute of Technology	Oshawa	ON	Canada
11337	Sungkyunkwan University	Seoul	(null)	South Korea
12190	Federal Reserve Board of Governors	Washington	DC	USA
12610	Siauliai University	Siauliai	(null)	LITHUANIA
14310	Centro de Ciencias Humanas y Sociales	Madrid	(null)	SPAIN
47	Temple University	Philadelphia	PA	USA
128	University of Tilburg	5037 AB Tilburg	(null)	The Netherlands
130	Smith College	Northampton	MA	USA
142	Lehigh University	Bethlehem	PA	USA
248	West Virginia University	Morgantown	WV	USA
262	Utah State University	Logan	UT	USA
310	Bates College	Lewiston	ME	USA
401	Hong Kong University of Science and Technology	Kowloon	(null)	Hong Kong
609	University of Illinois at Springfield	Springfield	IL	USA
634	Towson University	Towson	MD	USA
643	United States Air Force Academy	USAFA	CO	USA
840	Wilfrid Laurier University	Waterloo Ontario	ON	Canada
979	Loyola University New Orleans	New Orleans	LA	USA
1100	Yeungnam University	Gyeongsan	(null)	Korea
1172	James Madison University	Harrisonburg	VA	USA
1367	Whitman College	Walla Walla	WA	USA
1396	Radford University	Radford	VA	USA
1403	Kenyon College	Gambier	OH	USA
1565	Universite de Moncton	Moncton	NB	Canada
1774	Southern Connecticut State University	New Haven	CT	USA
1825	Universita degli Studi di Milano	20122 Milano	(null)	Italy
2088	University of the West Indies	Kingston	(null)	Jamaica
2322	Grove City College	Grove City	PA	USA
8605	Carroll College (Montana Federation)	Helena	MT	USA
9325	Delta State University	Cleveland	MS	USA
11203	Hyogo University of Teacher Education	Hyogo	(null)	Japan
12211	University College Cork	Cork	(null)	IRELAND
12530	Harris-Stowe State University	St. Louis	MO	USA
12611	Mykolas Romeris University	Vilnius	(null)	LITHUANIA
12710	University of Houston - Downtown	Houston	TX	USA
12950	Senshu University	Kanagawa	214-8580	JAPAN
13510	Federal University of Pernambuco (UFPE)	Recife	(null)	Brazil
10	University of California at Berkeley	Berkeley	CA	USA
26	Yale University	New Haven	CT	USA
27	Stanford University	Stanford	CA	USA
60	Sonoma State University	Rohnert Park	CA	USA
82	Florida International University	Miami	FL	USA
110	College of Wooster	Wooster	OH	USA
133	Dartmouth College	Hanover	NH	USA
168	Central Michigan University	Mt Pleasant	MI	USA
177	University of Texas at Arlington	Arlington	TX	USA
196	Iowa State University	Ames	IA	USA
197	Southern Methodist University	Dallas	TX	USA
225	City College	New York	NY	USA
249	Auburn University at Auburn	Auburn	AL	USA
250	State University of New York at Stony Brook	Stony Brook	NY	USA
267	University of Texas at Austin	Austin	TX	USA
275	Brandeis University	Waltham	MA	USA
286	Northeastern University	Boston	MA	USA
300	University of Rhode Island	Kingston	RI	USA
304	University of California at San Francisco	San Francisco	CA	USA
312	Wichita State University	Wichita	KS	USA
353	University of Louisville	Louisville	KY	USA
360	Saint Cloud State University	Saint Cloud	MN	USA
377	University of Mary Washington	Fredericksburg	VA	USA
398	California State University at San Marcos	San Marcos	CA	USA
504	Catholic University of America	Washington	DC	USA
530	Georgia Southern University	Statesboro	GA	USA
593	University of California at Riverside	Riverside	CA	USA
629	Loyola Marymount University	Los Angeles	CA	USA
730	University of New Hampshire	Durham	NH	USA
1063	Morgan State University	Baltimore	MD	USA
1491	West Chester University	West Chester	PA	USA
1597	Finnish National Membership	Tampere	(null)	Finland
1906	University of Leiden	Leiden	(null)	The Netherlands
1951	Federal Reserve Bank of Philadelphia	Philadelphia	PA	USA
2025	University of Montreal	Montreal	QC	Canada
2129	University of Ghent	Ghent	(null)	Belgium
7280	Dublin City University	Dublin	(null)	IRELAND
9982	City University of Hong Kong	Hong Kong	(null)	CHINA
11365	Sejong University	Seoul	(null)	Korea
12351	Hiram College	Hiram	OH	USA
13250	Walsh University	North Canton	OH	USA
17	California State University at Fresno	Fresno	CA	USA
32	University of British Columbia	Vancouver, British Columbia	BC	Canada
39	Duke University	Durham	NC	USA
62	Western Kentucky University	Bowling Green	KY	USA
85	Bowling Green State University	Bowling Green	OH	USA
94	McGill University	Montreal	QC	Canada
96	Tulane University	New Orleans	LA	USA
97	Oberlin College	Oberlin	OH	USA
102	Grinnell College	Grinnell	IA	USA
106	Lawrence University	Appleton	WI	USA
116	UK Data Archive at University of Essex	Essex	(null)	United Kingdom
123	University of Missouri at St. Louis	St. Louis	MO	USA
183	Villanova University	Villanova	PA	USA
198	Claremont Colleges	Claremont	CA	USA
209	Old Dominion University	Norfolk	VA	USA
264	University of Alabama at Tuscaloosa	Tuscaloosa	AL	USA
280	Wabash College	Crawfordsville	IN	USA
289	George Mason University	Fairfax	VA	USA
299	University of North Dakota	Grand Forks	ND	USA
318	University of Alabama at Birmingham	Birmingham	AL	USA
323	Wake Forest University	Winston-Salem	NC	USA
324	University of Puget Sound	Tacoma	WA	USA
343	Virginia Commonwealth University	Richmond	VA	USA
369	Oregon State University	Corvallis	OR	USA
642	Drew University	Madison	NJ	USA
693	London School of Economics	London	(null)	United Kingdom
828	Auburn University at Montgomery	Mongomery	AL	USA
893	Millikin University	Decatur	IL	USA
1021	Bentley College	Waltham	MA	USA
1076	Saint Louis University	St. Louis	MO	USA
1096	Federal Reserve Bank of New York	New York	NY	USA
1307	Presbyterian College	Clinton	SC	USA
1401	University of Missouri at Kansas City	Kansas City	MO	USA
1460	Knox College	Galesburg	IL	USA
1474	University of Manitoba	Winnipeg, Manitoba	MB	Canada
1508	Saginaw Valley State University	University Center	MI	USA
1552	Chuo University	Tokyo	(null)	Japan
1923	Gakushuin University	Toyko	(null)	Japan
3086	Kookmin University	Seoul	(null)	South Korea
6706	Waseda University	Shinjuku	(null)	Japan
7025	University of the Witwatersrand	Johannesburg	(null)	South Africa
7379	University of Cape Town	PVT Bag, Rondebosch 7700	(null)	South Africa
7523	Vytautas Magnus University	Kaunas	(null)	LITHUANIA
7967	Fundacion Banco Bilbao Vizcaya Argentaria (BBVA)	28001 Madrid	(null)	Spain
9334	Hamline University	St. Paul	MN	USA
10222	University of North Carolina at Asheville	Asheville	NC	USA
11116	Federal Reserve Bank of St. Louis	St. Louis	MO	USA
11273	Queensborough Community College	Bayside	NY	USA
11450	Sabanci University	Istanbul	(null)	Turkey
13770	Fielding Graduate University	Santa Barbara	CA	USA
14070	St. Louis College of Pharmacy	St. Louis	MO	USA
14571	Kyungsung University	Nam-gu	Busan 608-736	SOUTH KOREA
2	California State University at Bakersfield	Bakersfield	CA	USA
40	University of Missouri at Columbia	Columbia	MA	USA
43	Syracuse University	Syracuse	NY	USA
46	California State University at Northridge	Northridge	CA	USA
52	California State University at San Bernardino	San Bernardino	CA	USA
84	Florida State University	Tallahassee	FL	USA
199	University of New Mexico	Albuquerque	NM	USA
201	Texas A&M University	College Station	TX	USA
202	University of New Orleans	New Orleans	LA	USA
210	University of Texas at San Antonio	San Antonio	TX	USA
223	Baruch College	New York	NY	USA
281	Boston College	Chestnut Hill	MA	USA
282	National Chengchi University	Chi-nan Rd., Taipei 116	(null)	Taiwan
329	University of North Carolina at Greensboro	Greensboro	NC	USA
342	Saint Anselm College	Manchester	NH	USA
359	Minnesota State University Moorhead	Moorhead	MN	USA
436	Rollins College	Winter Park	FL	USA
445	The Sejong Institute	Sungnam	(null)	Korea
503	Drake University	Des Moines	IA	USA
